name,adress,lattitude,longitude
"Колледж Архитектуры, Дизайна и Реинжиниринга № 26","ул. Цимлянская, д. 7, стр.1",55.668686,37.76999
Школа № 514,"Коломенская набережная, дом 16",55.67722,37.700002
Школа № 1207,"Домодедовская улица, дом 24, корпус 7",55.60546,37.709236
Школа № 996,"Борисовский проезд, д. 13",55.626614,37.723358
Лицей № 1451 (СП СОШ № 630),"Мытная улица, дом 50, корпус 3",55.718623,37.616593
Школа № 1553 имени В.И. Вернадского,"Дербеневская улица, дом 13",55.720966,37.649103
Технологический колледж № 34,"Нагатинская улица, дом 4, корпус 1",55.680336,37.629754
Художественная школа №548 «Царицыно»,"ул. Маршала Захарова, д.8, к.1",55.623326,37.702337
Колледж декоративно-прикладного искусства имени Карла Фаберже,"ул. Якорная, д. 6, к. 1",55.685802,37.682134
Школа № 1257,"Павловская улица, дом 8А",55.714328,37.625648
Школа № 1272,"1-й Кожуховский пр., д. 17",55.70807,37.663925
Школа № 1526 на Покровской,"Дорожная улица, дом 20А",55.602342,37.620968
Школа № 1527,"проспект Андропова, дом 17, корпус 5",55.682559,37.668848
Школа № 1569 Созвездие,"улица Мусы Джалиля, дом 36, корпус 2",55.617154,37.738818
Школа № 1636 НИКА,"ул. Елецкая, д. 12, корп. 3",55.606848,37.72917
Школа № 982 имени маршала П.П. Полубоярова (СП СОШ № 2000),"ул. Кошкина, д.13, кор. 2.",55.640878,37.674678
Школа № 1242 (СП №5 СОШ № 667),"Мосва, Востряковский пр., д. 3А",55.584543,37.641378
Школа № 426 (СП № 7 СОШ № 939),"Борисовский пр., д. 10, к. 2",55.624596,37.719908
Школа № 544,"Каширское ш., д.116. к. 3",55.606761,37.714806
Школа № 667 имени Героя Советского Союза К.Я. Самсонова,"Востряковский пр., д. 13А",55.577739,37.645276
Школа № 896 (СП СОШ № 1636),"ул. Воронежская, д. 26, корп. 4",55.608317,37.736967
Школа № 902 Диалог,"ул. Ряжская, д. 11",55.591126,37.667995
Школа № 939,"Борисовский пр., д. 40, к. 2",55.616163,37.72573
Школа № 947,ул. Лебедянская д. 16,55.58497,37.674552
Хореографический колледж «Школа классического танца»," улица Восточная, дом 4, корп. 1",55.714414,37.657907
Школа № 1770,"Коломенская набережная, дом 20",55.675966,37.69542
Центр спорта и образования (ЦОС) «Чертаново»,"ул. Чертановская, д.7, корп.3",55.629684,37.604331
Школа № 1450 Олимп,"ул. Фруктовая, д.9",55.658439,37.612308
Школа № 1861 Загорье,"Загорьевский пр., д. 13",55.577989,37.680077
Школа № 1998 Лукоморье,"ул. Борисовские пруды, д.12, корп. 3.",55.634568,37.742187
Школа № 2000,"Кантемировская ул., д. 22, к. 6",55.64222,37.659973
Школа № 2116 Зябликово,"Задонский пр., д. 34, к. 3",55.620337,37.75497
Школа № 548 Царицыно,ул. Домодедовская д. 35 корп. 2,55.601747,37.717115
